gene,AC-like,Astrocyte,B_cell,CD4_CD8,DC,Endothelial,MES-like,Mast,Mono,Mural_cell,NK,NPC-like,Neuron,Neutrophil,OPC,OPC-like,Oligodendrocyte,Plasma_B,RG,TAM-BDM,TAM-MG
ACE2,0.0064642951650096,0.0049813200498132,0.0,0.0005689342292412,0.0001096010521701,0.0018903591682419,0.0020019355205981,0.0,7.313862206836023e-05,0.0066612510154346,0.0,0.0009878515280171,0.0087177048660643,0.0,0.0115777080062794,0.0059070089745973,0.0017265262692979,0.001296176279974,0.0,0.0004183272140528,0.000583232804602
ACER2,0.037538275431898,0.0336239103362391,0.0026345502446368,0.0147236254843297,0.0040552389302937,0.0661625708884688,0.0433215051519004,0.017156862745098,0.0082646642937247,0.00714865962632,0.0006347191367819,0.1024212871495229,0.2534474560152163,0.0001954270080125,0.0649921507064364,0.0548870147210438,0.0375017566400995,0.0051847051198963,0.0,0.0134238214938016,0.0100046858020198
ACER3,0.9441500018901448,2.804483188044832,0.0387655250282273,0.0932659767521702,0.8136782113108286,0.3431861144526551,0.8665344693447693,0.4485294117647059,0.8525037788288069,0.2906580016246953,0.0463344969850841,0.7808020513682794,1.0580123632905374,0.0343951534102012,1.909026687598116,0.9547044805381378,2.1910220633996507,0.1736876215165262,0.0655043586550435,0.993486047666892,0.6868139537202277
ACHE,0.4307337542055721,0.0211706102117061,0.0033872788859616,0.0125655990975526,0.0209338009644892,0.0094517958412098,0.4598094840509307,0.0134803921568627,0.0029743039641133,0.046791226645004,0.0006347191367819,0.4133002648282819,0.2455222697733396,0.000390854016025,0.8881868131868131,0.6746074670001859,0.0088936178755696,0.0032404406999351,0.0014943960149439,0.0086877598204181,0.0060267389808879
ACIN1,1.1505386912637507,3.713574097135741,0.13323296951449,0.3098435430869586,0.5864752301622096,0.8649252448874377,0.9106719292586196,0.2377450980392156,0.6172655907162709,0.864825345247766,0.2697556331323389,1.2483710958846526,0.9353304802662864,0.0455344928669142,1.4529042386185242,1.1137458380516163,0.7414225773423541,0.373298768632534,0.1932752179327521,0.6490309375385178,0.4801900242265934
ACKR1,0.0374551090613541,0.3686176836861768,0.0,0.0156849281475305,0.0085488820692678,0.8707681732256402,0.1149262794360424,0.0306372549019607,0.0066068555268418,0.0087733549959382,0.0009520787051729,0.3590735213754256,0.0689491203043271,0.0,0.0267660910518053,0.1300133520374533,0.0191122442833912,0.0090732339598185,0.0004981320049813,0.0038097656994094,0.0019740187232684
ACKR3,0.8946660114164745,1.651307596513076,0.007527286413248,0.032125165530433,0.1179307321350285,0.4825571404021309,0.3753297026509042,0.0134803921568627,0.3524306402067385,0.2190089358245329,0.0076166296413836,0.6807768296271386,0.0209224916785544,0.0076216533124877,0.0755886970172684,1.2121114810620786,0.0174057939009455,0.018146467919637,0.0047322540473225,0.1506687632828228,0.0148101253202795
ACKR4,0.0037349260953389,0.0199252801992528,0.0003763643206624,0.0013634803080092,0.0023016220955721,0.0049836741708197,0.0078179851610087,0.0,0.0012189770344726,0.0051990251827782,0.0003173595683909,0.0024170835259994,0.0255190996988429,0.0001954270080125,0.0107142857142857,0.0042929335609376,0.0093152114994679,0.000648088139987,0.0,0.002875999596613,0.002308006739579
ACLY,2.5945866253355008,4.775840597758406,0.0602182913059841,0.175457354455834,0.3009644892590969,0.7147276164289397,1.887920074384713,0.150735294117647,0.4535813545272807,0.6409423233143785,0.1377340526816883,3.521942914792551,0.5287684260580123,0.0189564197772132,1.5929356357927786,1.98320854530397,0.5517255224749553,0.1633182112767336,0.0515566625155666,0.3998124997665584,0.2519416169007906
ACO2,2.2456885797452086,14.141967621419676,0.1234474971772675,0.1922311050076021,0.4318281455501973,0.5320501804433752,1.2578322169301126,0.1544117647058823,0.467526451801648,1.0211210398050363,0.2757854649317677,2.5738997015427296,0.9728958630527818,0.0222786789134258,1.2828492935635794,1.5348420572278465,1.0349721948967097,0.474400518470512,0.0814445828144458,0.4912655518744421,0.3036798500543353
